Date,Open,High,Low,Close,Adj Close,Volume
2019-11-08,3140.790039,3165.790039,3125.050049,3135.570068,3135.570068,261
2019-11-11,3145.000000,3177.709961,3143.850098,3164.659912,3164.659912,456
2019-11-13,3172.330078,3174.570068,3090.000000,3103.560059,3103.560059,745
2019-11-14,3115.000000,3136.929932,3101.090088,3135.270020,3135.270020,144
2019-11-15,3145.000000,3179.949951,3145.000000,3167.899902,3167.899902,800
2019-11-18,3175.000000,3175.000000,3155.000000,3158.209961,3158.209961,10
2019-11-19,3175.000000,3201.899902,3172.000000,3200.620117,3200.620117,153
2019-11-20,3185.000000,3201.030029,3103.000000,3135.179932,3135.179932,1039
2019-11-21,3160.000000,3200.000000,3160.000000,3199.000000,3199.000000,51
2019-11-22,3185.689941,3189.949951,3169.189941,3177.790039,3177.790039,221
2019-11-25,3171.800049,3215.290039,3171.800049,3213.540039,3213.540039,93
2019-11-26,3220.000000,3257.000000,3210.709961,3243.320068,3243.320068,115
2019-11-27,3231.000000,3248.500000,3231.000000,3247.810059,3247.810059,33
2019-11-28,3247.000000,3284.419922,3247.000000,3278.909912,3278.909912,131
2019-11-29,3270.000000,3270.590088,3250.000000,3251.540039,3251.540039,277
2019-12-02,3267.469971,3267.510010,3245.000000,3246.899902,3246.899902,48
2019-12-03,3245.000000,3245.000000,3216.409912,3220.840088,3220.840088,36
2019-12-04,3207.389893,3272.840088,3207.389893,3264.090088,3264.090088,372
2019-12-05,3268.729980,3273.090088,3229.000000,3239.449951,3239.449951,362
2019-12-06,3241.959961,3241.959961,3189.350098,3197.770020,3197.770020,370
2019-12-09,3185.000000,3212.000000,3180.000000,3196.629883,3196.629883,336
2019-12-10,3190.550049,3199.620117,3171.719971,3176.949951,3176.949951,124
2019-12-11,3185.000000,3195.100098,3162.729980,3186.860107,3186.860107,135
2019-12-12,3195.000000,3226.000000,3195.000000,3225.639893,3225.639893,252
2019-12-13,3237.000000,3271.449951,3237.000000,3268.469971,3268.469971,219
2019-12-16,3262.330078,3265.229980,3257.570068,3262.560059,3262.560059,41
2019-12-17,3273.699951,3281.620117,3273.699951,3281.620117,3281.620117,45
2019-12-18,3270.000000,3289.429932,3265.449951,3289.429932,3289.429932,63
2019-12-19,329.100006,330.160004,326.779999,329.320007,329.320007,531
2019-12-20,329.320007,331.589996,329.320007,331.399994,331.399994,623
2019-12-23,329.350006,331.809998,329.350006,330.890015,330.890015,90
2019-12-24,330.850006,330.850006,330.000000,330.000000,330.000000,231
2019-12-26,329.869995,329.869995,326.200012,327.640015,327.640015,1054
2019-12-27,329.000000,331.720001,329.000000,330.390015,330.390015,942
2019-12-30,330.000000,332.600006,329.000000,329.549988,329.549988,1824
2019-12-31,331.000000,331.000000,328.309998,328.320007,328.320007,5170
2020-01-01,328.760010,329.100006,326.809998,327.769989,327.769989,2353
2020-01-02,328.000000,331.309998,327.899994,330.640015,330.640015,1076
2020-01-03,330.000000,330.000000,325.920013,327.500000,327.500000,588
2020-01-06,326.000000,326.000000,318.420013,319.420013,319.420013,661
2020-01-07,321.350006,324.000000,319.250000,320.769989,320.769989,474
2020-01-08,319.000000,319.790009,317.000000,319.660004,319.660004,216
2020-01-09,323.000000,328.179993,315.750000,328.059998,328.059998,285
2020-01-10,328.000000,330.660004,326.640015,326.640015,326.640015,263
2020-01-13,328.000000,329.720001,327.739990,327.790009,327.790009,1906
2020-01-14,327.940002,328.529999,327.000000,327.989990,327.989990,142
2020-01-15,327.000000,327.000000,324.000000,324.859985,324.859985,4500
2020-01-16,326.000000,326.029999,323.510010,325.029999,325.029999,129
2020-01-17,324.000000,324.480011,322.440002,322.880005,322.880005,111
2020-01-20,324.000000,324.000000,317.760010,317.910004,317.910004,483
2020-01-21,317.000000,317.799988,315.559998,316.290009,316.290009,876
2020-01-22,317.000000,317.000000,313.299988,313.970001,313.970001,4201
2020-01-23,315.950012,317.100006,314.299988,317.100006,317.100006,431
2020-01-24,316.000000,320.000000,316.000000,319.809998,319.809998,1898
2020-01-27,319.000000,319.000000,314.250000,315.399994,315.399994,189
2020-01-28,315.500000,317.000000,313.269989,313.269989,313.269989,868
2020-01-29,314.000000,316.049988,314.000000,316.049988,316.049988,68
2020-01-30,315.000000,315.000000,311.600006,312.070007,312.070007,1889
2020-01-31,313.000000,319.660004,313.000000,316.750000,316.750000,4378
2020-02-03,305.000000,307.640015,303.000000,307.320007,307.320007,4375
2020-02-04,308.000000,314.220001,308.000000,313.369995,313.369995,2581
2020-02-05,314.000000,317.190002,314.000000,317.190002,317.190002,4167
2020-02-06,316.000000,320.459991,315.119995,320.040009,320.040009,1677
2020-02-07,320.040009,320.040009,317.190002,319.480011,319.480011,1086
2020-02-10,318.000000,318.000000,315.910004,317.630005,317.630005,787
2020-02-11,320.000000,321.000000,318.600006,319.350006,319.350006,119
2020-02-12,320.000000,321.609985,320.000000,321.609985,321.609985,128
2020-02-13,320.000000,320.320007,317.750000,319.209991,319.209991,264
2020-02-14,320.000000,320.000000,314.100006,315.350006,315.350006,1392
2020-02-17,315.000000,315.600006,312.359985,313.619995,313.619995,89
2020-02-18,312.000000,312.000000,309.000000,311.380005,311.380005,244
2020-02-19,312.000000,314.700012,312.000000,313.130005,313.130005,8592
2020-02-20,313.000000,317.369995,313.000000,315.000000,315.000000,2107
2020-02-24,314.940002,314.989990,309.549988,309.670013,309.670013,583995
2020-02-25,311.029999,311.269989,309.359985,309.359985,309.359985,113
2020-02-26,309.359985,311.500000,308.000000,309.570007,309.570007,128
2020-02-27,309.000000,309.290009,304.779999,307.720001,307.720001,100952
2020-02-28,303.000000,303.000000,296.000000,297.100006,297.100006,1095
2020-03-02,297.500000,302.299988,291.600006,294.450012,294.450012,139338
2020-03-03,296.000000,299.589996,294.019989,298.660004,298.660004,2812
2020-03-04,298.000000,298.000000,288.279999,293.720001,293.720001,2505
2020-03-05,295.359985,297.000000,292.880005,294.040009,294.040009,1480
2020-03-06,288.100006,288.100006,280.000000,284.570007,284.570007,5596
2020-03-09,278.059998,283.489990,265.549988,271.609985,271.609985,502996
