Date,Open,High,Low,Close,Adj Close,Volume
2010-03-02,480.049988,507.500000,409.850006,503.850006,503.850006,1252
2010-03-03,505.850006,509.950012,505.850006,509.500000,509.500000,692
2010-03-04,510.000000,510.700012,507.399994,510.149994,510.149994,78
2010-03-05,511.100006,515.000000,508.000000,510.049988,510.049988,855
2010-03-08,513.799988,516.000000,511.899994,512.799988,512.799988,269
2010-03-09,512.349976,515.450012,510.000000,510.600006,510.600006,416
2010-03-10,514.700012,515.900024,512.000000,514.000000,514.000000,2720
2010-03-11,510.000000,517.450012,510.000000,515.549988,515.549988,479
2010-03-12,516.299988,516.500000,514.200012,514.750000,514.750000,1206
2010-03-15,512.599976,515.799988,512.099976,514.000000,514.000000,609
2010-03-16,515.000000,522.250000,515.000000,522.099976,522.099976,356
2010-03-17,526.049988,527.250000,521.500000,525.750000,525.750000,456
2010-03-18,525.000000,526.000000,524.299988,524.950012,524.950012,100
2010-03-19,525.250000,528.500000,524.650024,528.349976,528.349976,2230
2010-03-22,525.349976,527.099976,523.000000,523.200012,523.200012,866
2010-03-23,523.650024,525.799988,521.650024,524.150024,524.150024,103
2010-03-25,522.250000,528.000000,522.049988,527.650024,527.650024,145
2010-03-26,540.000000,540.000000,528.000000,529.150024,529.150024,1092
2010-03-29,529.150024,533.500000,527.049988,528.900024,528.900024,256
2010-03-30,530.900024,532.500000,528.000000,529.400024,529.400024,526
2010-03-31,528.000000,528.000000,525.099976,526.200012,526.200012,906
2010-04-01,530.150024,531.000000,527.849976,530.750000,530.750000,40
2010-04-05,531.000000,538.450012,531.000000,537.200012,537.200012,666
2010-04-06,537.500000,537.500000,532.049988,534.000000,534.000000,25
2010-04-07,533.000000,540.500000,531.000000,534.299988,534.299988,567
2010-04-08,501.500000,537.099976,501.500000,531.500000,531.500000,386
2010-04-09,525.000000,537.500000,525.000000,532.950012,532.950012,80
2010-04-12,536.000000,538.000000,531.000000,531.000000,531.000000,8
2010-04-13,530.500000,533.000000,528.049988,530.950012,530.950012,66
2010-04-15,532.000000,535.950012,529.400024,529.400024,529.400024,269
2010-04-16,503.100006,527.000000,503.100006,525.000000,525.000000,69
2010-04-19,520.000000,523.349976,518.500000,522.250000,522.250000,202
2010-04-20,513.549988,526.000000,510.200012,521.700012,521.700012,433
2010-04-21,524.000000,526.150024,521.099976,523.700012,523.700012,304
2010-04-22,524.650024,533.849976,524.000000,527.450012,527.450012,218
2010-04-23,528.950012,531.950012,525.000000,530.799988,530.799988,188
2010-04-26,526.000000,526.000000,526.000000,526.000000,526.000000,10
2010-04-27,539.000000,539.000000,505.649994,530.000000,530.000000,3324
2010-04-28,545.000000,545.000000,519.099976,521.349976,521.349976,1995
2010-04-29,501.100006,524.049988,501.100006,523.549988,523.549988,1309
2010-04-30,528.450012,528.450012,524.049988,524.049988,524.049988,94
2010-05-03,522.000000,522.200012,520.000000,521.500000,521.500000,614
2010-05-04,522.000000,522.000000,514.049988,514.549988,514.549988,1001
2010-05-05,508.799988,515.700012,508.799988,514.650024,514.650024,2083
2010-05-06,525.950012,525.950012,507.000000,510.799988,510.799988,2058
2010-05-07,506.500000,507.700012,502.000000,503.149994,503.149994,2218
2010-05-10,510.000000,520.549988,504.000000,519.549988,519.549988,1028
2010-05-11,517.000000,517.500000,512.049988,513.700012,513.700012,1008
2010-05-12,517.150024,517.150024,509.750000,513.349976,513.349976,1496
2010-05-13,521.000000,522.000000,517.849976,518.549988,518.549988,2337
2010-05-14,518.599976,521.200012,509.350006,511.200012,511.200012,644
2010-05-17,504.000000,547.700012,501.500000,510.700012,510.700012,1387
2010-05-18,508.899994,511.299988,504.600006,508.850006,508.850006,220
2010-05-19,501.049988,515.000000,500.000000,503.149994,503.149994,778
2010-05-20,499.000000,507.000000,498.500000,504.549988,504.549988,167
2010-05-21,498.000000,499.899994,492.000000,499.000000,499.000000,434
2010-05-24,498.500000,503.950012,498.500000,500.899994,500.899994,160
2010-05-25,499.700012,499.700012,488.000000,491.549988,491.549988,1374
2010-05-26,496.000000,496.000000,490.100006,495.899994,495.899994,449
2010-05-27,488.250000,498.000000,488.250000,498.000000,498.000000,125
2010-05-28,506.000000,506.000000,502.000000,505.100006,505.100006,1674
2010-05-31,581.000000,581.000000,501.500000,506.299988,506.299988,393
2010-06-01,507.450012,507.450012,500.000000,500.000000,500.000000,1147
2010-06-02,502.399994,504.850006,500.299988,504.200012,504.200012,271
2010-06-03,512.000000,513.000000,509.299988,509.950012,509.950012,626
2010-06-04,505.000000,525.000000,505.000000,520.349976,520.349976,959
2010-06-07,505.000000,509.799988,502.000000,504.899994,504.899994,1580
2010-06-08,507.000000,507.000000,500.000000,501.000000,501.000000,183
2010-06-09,503.450012,507.799988,502.000000,502.399994,502.399994,403
2010-06-10,505.049988,513.000000,505.049988,512.049988,512.049988,1750
2010-06-11,510.000000,515.950012,510.000000,513.900024,513.900024,4930
2010-06-14,516.450012,520.799988,515.650024,519.950012,519.950012,1453
2010-06-15,520.000000,524.900024,519.849976,523.250000,523.250000,1749
2010-06-16,523.000000,525.000000,521.950012,522.750000,522.750000,675
2010-06-17,522.349976,528.450012,522.349976,527.099976,527.099976,1501
2010-06-18,528.000000,530.000000,525.500000,528.000000,528.000000,2672
2010-06-21,528.900024,535.950012,528.599976,535.200012,535.200012,6134
2010-06-22,533.000000,539.900024,533.000000,535.450012,535.450012,2144
2010-06-23,530.000000,536.450012,530.000000,535.400024,535.400024,587
2010-06-24,537.000000,537.000000,529.049988,532.349976,532.349976,1805
2010-06-25,532.950012,536.000000,530.000000,533.750000,533.750000,3391
2010-06-28,523.150024,533.000000,523.150024,529.950012,529.950012,308
2010-06-29,528.099976,534.299988,528.099976,529.200012,529.200012,53
2010-06-30,523.000000,532.950012,523.000000,532.750000,532.750000,68
2010-07-01,521.150024,529.750000,521.150024,525.599976,525.599976,307
2010-07-02,527.099976,529.000000,523.000000,525.599976,525.599976,295
2010-07-05,527.500000,530.049988,518.150024,528.650024,528.650024,3231
2010-07-06,528.650024,532.000000,528.650024,529.549988,529.549988,95
2010-07-07,530.400024,530.700012,525.049988,525.049988,525.049988,120
2010-07-08,526.000000,534.000000,526.000000,530.200012,530.200012,793
2010-07-09,536.500000,537.000000,532.549988,535.150024,535.150024,134
2010-07-12,543.799988,543.799988,535.150024,535.799988,535.799988,415
2010-07-13,535.000000,544.450012,535.000000,544.450012,544.450012,709
2010-07-14,538.049988,546.500000,538.049988,540.049988,540.049988,350
2010-07-15,540.000000,543.000000,533.150024,540.000000,540.000000,97
2010-07-16,543.250000,543.900024,538.150024,538.150024,538.150024,38
2010-07-19,535.000000,543.250000,527.849976,536.750000,536.750000,826
2010-07-20,537.549988,543.000000,537.500000,538.250000,538.250000,71
2010-07-21,540.000000,542.950012,536.049988,539.000000,539.000000,387
2010-07-22,538.000000,545.000000,535.099976,540.599976,540.599976,588
2010-07-23,540.150024,547.799988,540.150024,544.150024,544.150024,128
2010-07-26,543.000000,548.349976,540.549988,541.299988,541.299988,125
2010-07-27,541.099976,548.250000,541.099976,547.900024,547.900024,46
2010-07-28,539.150024,547.000000,539.150024,544.200012,544.200012,74
2010-07-29,545.000000,559.000000,531.000000,544.349976,544.349976,122
2010-07-30,528.349976,545.000000,528.349976,541.900024,541.900024,10
2010-08-02,540.000000,547.650024,539.049988,546.650024,546.650024,238
2010-08-03,549.799988,549.799988,540.000000,545.000000,545.000000,236
2010-08-04,545.000000,548.000000,545.000000,545.000000,545.000000,89
2010-08-05,544.400024,553.000000,544.400024,552.950012,552.950012,179
2010-08-06,550.000000,550.000000,548.200012,548.200012,548.200012,14
2010-08-09,549.000000,550.200012,546.099976,549.599976,549.599976,264
2010-08-10,548.000000,548.000000,545.000000,545.500000,545.500000,33
2010-08-11,545.000000,549.250000,545.000000,547.049988,547.049988,25
2010-08-12,544.150024,546.849976,540.000000,546.650024,546.650024,675
2010-08-13,548.000000,549.500000,545.000000,545.000000,545.000000,89
2010-08-16,546.000000,549.000000,540.349976,542.049988,542.049988,1311
2010-08-17,544.000000,544.000000,540.200012,540.900024,540.900024,106
2010-08-18,563.000000,563.000000,545.000000,546.349976,546.349976,266
2010-08-19,551.500000,555.000000,550.099976,550.299988,550.299988,318
2010-08-20,550.599976,557.000000,550.599976,554.299988,554.299988,14
2010-08-23,501.000000,559.299988,501.000000,559.299988,559.299988,316
2010-08-24,557.349976,557.349976,547.549988,556.299988,556.299988,427
2010-08-25,559.900024,559.900024,546.049988,551.000000,551.000000,141
2010-08-26,552.000000,552.000000,544.700012,544.700012,544.700012,16
2010-08-27,545.500000,552.700012,541.000000,544.099976,544.099976,167
2010-08-30,550.000000,550.000000,541.450012,543.250000,543.250000,2893
2010-08-31,537.799988,544.549988,537.799988,539.000000,539.000000,219
2010-09-01,550.000000,550.000000,543.000000,545.000000,545.000000,173
2010-09-02,548.000000,552.750000,547.349976,547.700012,547.700012,104
2010-09-03,547.250000,553.150024,547.250000,550.000000,550.000000,72
2010-09-06,550.000000,557.900024,550.000000,554.700012,554.700012,744
2010-09-07,551.650024,560.000000,551.650024,557.000000,557.000000,352
2010-09-08,561.950012,564.000000,555.250000,564.000000,564.000000,382
2010-09-09,561.349976,561.349976,561.250000,561.299988,561.299988,59
2010-09-13,580.599976,580.599976,567.150024,575.200012,575.200012,533
2010-09-14,580.000000,584.000000,576.049988,580.250000,580.250000,519
2010-09-15,585.950012,585.950012,581.500000,584.500000,584.500000,641
2010-09-16,591.700012,591.700012,576.049988,585.000000,585.000000,158
2010-09-17,585.049988,590.849976,585.049988,590.700012,590.700012,159
2010-09-20,588.000000,600.000000,588.000000,598.650024,598.650024,182
2010-09-21,602.000000,604.900024,595.099976,604.450012,604.450012,843
2010-09-22,520.000000,603.599976,506.000000,595.500000,595.500000,12495
2010-09-23,587.500000,600.000000,587.500000,599.950012,599.950012,463
2010-09-24,603.450012,603.450012,597.000000,600.200012,600.200012,65
2010-09-27,605.000000,612.150024,605.000000,609.849976,609.849976,123
2010-09-28,606.000000,609.000000,598.750000,602.000000,602.000000,91
2010-09-29,606.950012,607.000000,603.000000,606.200012,606.200012,274
2010-09-30,604.000000,604.000000,596.000000,601.000000,601.000000,142
2010-10-01,610.000000,615.950012,608.299988,614.750000,614.750000,1043
2010-10-04,620.950012,626.400024,616.049988,616.849976,616.849976,733
2010-10-05,611.000000,623.000000,611.000000,621.200012,621.200012,321
2010-10-06,622.000000,624.849976,525.000000,553.250000,553.250000,247
2010-10-07,635.000000,635.000000,614.150024,616.200012,616.200012,1039
2010-10-08,613.000000,616.000000,608.150024,612.250000,612.250000,308
2010-10-11,616.000000,619.849976,615.000000,618.000000,618.000000,153
2010-10-12,615.000000,615.000000,610.000000,612.099976,612.099976,480
2010-10-13,616.849976,627.000000,610.000000,624.799988,624.799988,809
2010-10-14,584.000000,630.950012,584.000000,619.450012,619.450012,1544
2010-10-15,620.000000,620.000000,609.000000,611.700012,611.700012,555
2010-10-18,606.549988,612.500000,601.049988,607.450012,607.450012,1204
2010-10-19,611.000000,612.750000,601.000000,604.150024,604.150024,2055
2010-10-20,601.000000,610.000000,598.099976,601.150024,601.150024,961
2010-10-21,614.450012,614.450012,606.000000,613.099976,613.099976,105
2010-10-22,618.950012,618.950012,606.250000,607.099976,607.099976,466
2010-10-25,612.000000,617.000000,612.000000,616.799988,616.799988,347
2010-10-26,612.650024,614.500000,611.799988,611.799988,611.799988,88
2010-10-27,611.799988,611.799988,604.250000,606.700012,606.700012,449
2010-10-28,605.000000,610.049988,603.000000,607.000000,607.000000,39
2010-10-29,602.099976,606.250000,600.000000,602.000000,602.000000,1462
2010-11-01,613.849976,622.500000,613.849976,621.400024,621.400024,320382
2010-11-02,617.950012,625.000000,612.049988,614.849976,614.849976,59
2010-11-03,622.000000,624.000000,620.250000,622.700012,622.700012,554
2010-11-04,619.000000,635.000000,619.000000,631.549988,631.549988,563
2010-11-08,632.400024,636.000000,630.450012,635.650024,635.650024,1202
2010-11-09,635.950012,639.000000,630.049988,638.150024,638.150024,2066
2010-11-10,634.099976,648.000000,633.599976,633.599976,633.599976,158
2010-11-11,635.000000,635.000000,626.099976,626.450012,626.450012,375
2010-11-12,622.650024,628.299988,617.250000,626.450012,626.450012,591
2010-11-15,620.000000,620.000000,614.000000,618.799988,618.799988,3702
2010-11-16,615.799988,620.000000,604.349976,605.400024,605.400024,3118
2010-11-18,630.000000,630.000000,607.000000,608.400024,608.400024,97
2010-11-19,625.000000,625.000000,600.000000,605.799988,605.799988,245
2010-11-22,605.000000,615.000000,600.000000,612.000000,612.000000,261
2010-11-23,615.000000,615.000000,600.000000,605.849976,605.849976,22149
2010-11-24,601.950012,609.000000,601.950012,601.450012,601.450012,218
2010-11-25,601.450012,602.000000,590.049988,592.349976,592.349976,261
2010-11-26,591.150024,591.150024,580.000000,584.799988,584.799988,1709
2010-11-29,590.000000,600.000000,589.900024,594.099976,594.099976,108
2010-11-30,590.500000,597.000000,590.500000,597.000000,597.000000,109
2010-12-01,595.400024,600.000000,595.400024,599.200012,599.200012,132
2010-12-02,606.250000,608.549988,602.099976,608.450012,608.450012,834
2010-12-03,600.299988,610.000000,600.000000,607.000000,607.000000,176
2010-12-06,608.599976,611.700012,602.000000,603.599976,603.599976,387
2010-12-07,603.000000,619.950012,603.000000,609.200012,609.200012,139
2010-12-08,603.000000,603.000000,593.000000,595.950012,595.950012,380
2010-12-09,592.450012,598.799988,588.000000,591.700012,591.700012,385
2010-12-10,581.849976,599.900024,581.849976,591.200012,591.200012,155
2010-12-13,597.500000,598.000000,582.700012,597.549988,597.549988,2149
2010-12-14,600.000000,604.500000,598.349976,602.799988,602.799988,91
2010-12-15,599.000000,600.500000,592.549988,599.000000,599.000000,420
2010-12-16,599.000000,601.000000,594.349976,596.250000,596.250000,194
2010-12-20,603.500000,607.000000,602.400024,602.400024,602.400024,142
2010-12-21,606.500000,606.500000,604.900024,606.500000,606.500000,158
2010-12-22,607.700012,610.000000,603.450012,605.000000,605.000000,266
2010-12-23,605.500000,609.950012,603.799988,609.650024,609.650024,99
2010-12-24,609.450012,609.650024,608.200012,609.650024,609.650024,12
2010-12-27,609.599976,614.950012,609.599976,613.450012,613.450012,130
2010-12-28,610.500000,610.500000,610.000000,610.000000,610.000000,8
2010-12-29,609.000000,611.950012,608.150024,610.000000,610.000000,185
2010-12-30,613.849976,613.849976,612.200012,612.200012,612.200012,42
2010-12-31,618.099976,618.950012,614.900024,618.950012,618.950012,151
2011-01-03,621.349976,623.500000,619.400024,621.000000,621.000000,265
2011-01-04,619.900024,621.299988,618.549988,620.000000,620.000000,141
2011-01-05,610.000000,618.950012,610.000000,615.299988,615.299988,790
2011-01-06,615.200012,615.200012,607.799988,608.500000,608.500000,327
2011-01-07,606.250000,606.250000,598.250000,599.000000,599.000000,955
2011-01-10,590.049988,597.200012,584.349976,585.849976,585.849976,1757
2011-01-11,590.000000,595.000000,575.000000,585.250000,585.250000,1163
2011-01-12,589.000000,598.900024,576.450012,596.150024,596.150024,11707
2011-01-13,591.700012,593.849976,582.650024,589.849976,589.849976,711
2011-01-14,582.000000,590.099976,571.000000,575.799988,575.799988,5036
2011-01-17,589.000000,589.000000,570.049988,573.400024,573.400024,754
2011-01-18,582.000000,583.000000,570.000000,580.750000,580.750000,1028
2011-01-19,582.000000,584.000000,576.000000,577.599976,577.599976,220
2011-01-20,575.000000,584.000000,574.000000,578.400024,578.400024,252
2011-01-21,580.500000,581.500000,578.000000,578.000000,578.000000,22
2011-01-24,580.000000,585.000000,580.000000,584.250000,584.250000,320
2011-01-25,584.250000,590.000000,583.000000,586.599976,586.599976,1140
2011-01-27,580.000000,580.000000,575.049988,579.900024,579.900024,160
2011-01-28,567.049988,571.000000,559.000000,563.299988,563.299988,1112
2011-01-31,556.000000,560.000000,551.000000,553.700012,553.700012,18708
2011-02-01,551.000000,566.900024,545.549988,546.000000,546.000000,5096
2011-02-02,542.500000,554.950012,542.500000,547.450012,547.450012,626
2011-02-03,548.349976,560.000000,548.200012,558.349976,558.349976,875
2011-02-04,556.650024,561.500000,543.900024,546.250000,546.250000,2027
2011-02-07,549.349976,551.599976,545.700012,549.500000,549.500000,827
2011-02-08,548.099976,550.549988,537.000000,539.150024,539.150024,3531
2011-02-09,535.099976,542.099976,532.000000,534.450012,534.450012,1632
2011-02-10,538.950012,538.950012,530.000000,531.950012,531.950012,5727
2011-02-11,533.000000,541.900024,528.000000,539.900024,539.900024,1043
2011-02-14,550.000000,553.900024,542.000000,552.200012,552.200012,6418
2011-02-15,558.000000,559.950012,548.000000,556.200012,556.200012,3396
2011-02-16,558.000000,558.000000,554.000000,557.950012,557.950012,126
2011-02-17,556.000000,560.000000,555.299988,560.000000,560.000000,190
2011-02-18,562.000000,565.000000,551.750000,551.950012,551.950012,841
2011-02-21,552.599976,558.000000,549.299988,556.599976,556.599976,630
2011-02-22,550.000000,560.000000,550.000000,552.500000,552.500000,65
2011-02-23,555.000000,555.000000,552.299988,552.500000,552.500000,55
2011-02-24,548.500000,548.500000,534.000000,539.200012,539.200012,1043
2011-02-25,555.000000,560.000000,535.000000,537.099976,537.099976,708
2011-02-28,545.000000,553.000000,540.000000,541.599976,541.599976,1379
2011-03-01,548.000000,560.000000,544.950012,558.049988,558.049988,794
2011-03-03,558.000000,565.000000,552.750000,557.150024,557.150024,472
2011-03-04,564.000000,564.000000,559.099976,560.700012,560.700012,907
2011-03-07,555.400024,590.000000,549.849976,557.250000,557.250000,710
2011-03-08,556.599976,562.500000,555.549988,557.000000,557.000000,460
2011-03-09,558.650024,562.849976,555.000000,562.750000,562.750000,654
